Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_diff,estimated_power,Actual Failure,Predicted Failure,Failure Probability,Risk Category
0,301.0,310.9,1296,54.9,69,9.899999999999975,7450.852464665841,0,0,0.001482621329853178,Low Risk
0,297.3,308.0,1447,49.0,61,10.699999999999989,7424.944797249236,0,0,0.000381391553745704,Low Risk
0,300.4,311.1,1397,50.8,189,10.700000000000044,7431.709693429966,0,0,0.005541717844758361,Low Risk
2,299.8,311.3,1785,25.4,139,11.5,4747.888977370255,0,0,0.0015438256622689387,Low Risk
0,302.3,311.5,1448,49.6,28,9.199999999999989,7521.056588498061,0,0,0.0003668205715785878,Low Risk
0,298.8,308.6,1872,22.5,82,9.800000000000011,4410.79608564007,0,0,0.002266277352600304,Low Risk
1,302.9,312.6,1394,46.4,82,9.700000000000044,6773.441312747786,0,0,0.001317585664833206,Low Risk
2,303.3,311.2,1607,31.7,34,7.899999999999977,5334.623293330196,0,0,0.0002498957259966047,Low Risk
0,299.4,309.0,1800,24.3,128,9.600000000000025,4580.442088933918,0,0,0.0010116720737011083,Low Risk
1,303.1,312.5,1766,26.7,157,9.399999999999975,4937.7668373532215,0,0,0.0007636312411175276,Low Risk
1,300.3,311.9,1429,41.6,184,11.599999999999966,6225.212450745343,0,0,0.001135093871897244,Low Risk
0,296.8,307.6,1434,48.3,138,10.800000000000011,7253.120623048899,0,0,0.0004978249324663239,Low Risk
1,298.1,308.9,1323,51.7,88,10.799999999999956,7162.7370024051215,0,0,0.00044020602580731273,Low Risk
0,298.5,308.7,1609,35.3,117,10.199999999999989,5947.841235359898,0,0,0.00027953650099198877,Low Risk
0,302.6,311.6,1453,37.0,135,9.0,5629.838754988029,0,0,0.00031972317045036113,Low Risk
0,301.2,310.4,1390,49.9,74,9.199999999999989,7263.466934854721,0,0,0.0004082960494402034,Low Risk
